pair,timeframe,time,signal,result,id
ETH/USDT,5m,2025-07-04 07:50:00,bull,win,ETH_USDT_1751615400
SOL/USDT,5m,2025-07-04 07:50:00,bull,loss,SOL_USDT_1751615400
FET/USDT,5m,2025-07-04 07:50:00,bull,loss,FET_USDT_1751615400
OP/USDT,5m,2025-07-04 07:50:00,bull,win,OP_USDT_1751615400
ARB/USDT,5m,2025-07-04 07:50:00,bull,loss,ARB_USDT_1751615400
FET/USDT,5m,2025-07-04 07:55:00,bull,loss,FET_USDT_1751615700
OP/USDT,5m,2025-07-04 07:55:00,bull,loss,OP_USDT_1751615700
ARB/USDT,5m,2025-07-04 07:55:00,bull,loss,ARB_USDT_1751615700
FET/USDT,5m,2025-07-04 08:00:00,bull,win,FET_USDT_1751616000
OP/USDT,5m,2025-07-04 08:00:00,bull,loss,OP_USDT_1751616000
FET/USDT,5m,2025-07-04 08:05:00,bull,win,FET_USDT_1751616300
OP/USDT,5m,2025-07-04 08:05:00,bear,loss,OP_USDT_1751616300
ARB/USDT,5m,2025-07-04 08:05:00,bull,loss,ARB_USDT_1751616300
FET/USDT,5m,2025-07-04 17:55:00,bear,loss,FET_USDT_1751651700
VIRTUAL/USDT,5m,2025-07-04 18:00:00,bear,loss,VIRTUAL_USDT_1751652000
SOL/USDT,5m,2025-07-05 05:50:00,bull,loss,SOL_USDT_1751694600
ARB/USDT,5m,2025-07-05 05:50:00,bull,loss,ARB_USDT_1751694600
VIRTUAL/USDT,5m,2025-07-05 05:50:00,bear,win,VIRTUAL_USDT_1751694600
FET/USDT,5m,2025-07-05 06:20:00,bull,loss,FET_USDT_1751696400
OP/USDT,5m,2025-07-05 06:20:00,bull,loss,OP_USDT_1751696400
ARB/USDT,5m,2025-07-05 06:20:00,bull,loss,ARB_USDT_1751696400
VIRTUAL/USDT,5m,2025-07-05 06:20:00,bear,win,VIRTUAL_USDT_1751696400
FET/USDT,5m,2025-07-05 06:25:00,bear,win,FET_USDT_1751696700
OP/USDT,5m,2025-07-05 06:25:00,bear,win,OP_USDT_1751696700
ARB/USDT,5m,2025-07-05 06:25:00,bear,win,ARB_USDT_1751696700
VIRTUAL/USDT,5m,2025-07-05 06:25:00,bear,win,VIRTUAL_USDT_1751696700
